player_name,goals,xG,Actual to xG,Goals to xG %,assists,xA,Assists to xA %,Actual to xA,year,age
Bruno Fernandes,8,9.385456696152689,-1.3854566961526888,-14.761739796003948,8,17.266709440387785,-53.66806844338529,-9.266709440387784,2022,27.0
Leandro Trossard,8,7.068454213440418,0.9315457865595818,13.178918026918533,12,6.358577378094196,88.72145900655313,5.641422621905804,2022,27.0
Brennan Johnson,8,8.266518421471119,-0.2665184214711189,-3.224070979856221,3,3.7432961594313374,-19.856728609586032,-0.7432961594313374,2022,21.0
Granit Xhaka,7,5.785433189943433,1.2145668100565672,20.993532725739463,7,4.802904064767063,45.74515554766749,2.1970959352329373,2022,29.0
Kevin De Bruyne,7,4.7582743894308805,2.2417256105691195,47.11215510287636,16,16.31964398175478,-1.9586455569259904,-0.3196439817547798,2022,31.0
Wilfried Zaha,7,7.797594489529729,-0.7975944895297289,-10.228724904849877,2,2.760253319516778,-27.54288217466472,-0.760253319516778,2022,29.0
Kai Havertz,7,12.77656376361847,-5.776563763618469,-45.21218592488345,1,3.5748752877116203,-72.02699620214923,-2.5748752877116203,2022,23.0
Yoane Wissa,7,5.207585535943508,1.792414464056492,34.41929953305593,3,2.6399280801415443,13.639459444635696,0.3600719198584556,2022,25.0
Philip Billing,7,4.894198485650122,2.105801514349878,43.026483713811885,1,3.457261343486607,-71.07537149645992,-2.457261343486607,2022,26.0
Dwight McNeil,7,3.871220519766212,3.128779480233788,80.82152551781626,3,7.44360885117203,-59.696968769018056,-4.44360885117203,2022,22.0
Diogo Jota,7,6.437793597579002,0.5622064024209976,8.73290505356402,4,1.7756053674966097,125.27528206560446,2.2243946325033903,2022,25.0
Kaoru Mitoma,7,9.245785741135478,-2.245785741135478,-24.28983110806624,5,7.035773795098066,-28.93461123659805,-2.0357737950980663,2022,25.0
Cody Gakpo,7,6.554539561271668,0.4454604387283316,6.796212526664594,2,2.981710772961378,-32.924413120940024,-0.981710772961378,2022,23.0
Joelinton,6,6.252544686198235,-0.2525446861982345,-4.039070472470154,1,3.116438364610076,-67.91208799904764,-2.116438364610076,2022,25.0
Danny Welbeck,6,9.550176788121462,-3.550176788121462,-37.17393789544485,3,5.098056230694056,-41.1540425557139,-2.098056230694056,2022,31.0
Anthony Martial,6,7.3281096909195185,-1.3281096909195185,-18.123496330373158,2,1.756760749965906,13.845895067886431,0.243239250034094,2022,26.0
Raheem Sterling,6,7.405153378844261,-1.4051533788442612,-18.975344695204228,3,4.861129405908287,-38.2859465466244,-1.8611294059082863,2022,27.0
